Time [s],Channel 5,Channel 6
12935.741384116,0,0
12936.208977804,0,1
12936.211390820,0,0
12936.678984636,0,1
12936.681397902,0,0
12937.148991498,0,1
12937.151404764,0,0
12937.618998338,0,1
12937.621411604,0,0
12938.089005254,0,1
12938.091418270,0,0
12938.559012176,0,1
12938.561425192,0,0
12939.029018972,0,1
12939.031432238,0,0
12939.499025848,0,1
12939.500295584,1,1
12939.502927848,0,1
12939.502963362,0,0
12939.969032786,0,1
12939.971446052,0,0
12940.439039686,0,1
12940.441452702,0,0
12940.909046572,0,1
12940.911459588,0,0
12941.379053396,0,1
12941.381466662,0,0
12941.849060294,0,1
12941.851473560,0,0
12942.319067154,0,1
12942.321480170,0,0
12942.789074044,0,1
12942.791487060,0,0
12943.259080858,0,1
12943.261494126,0,0
12943.729087754,0,1
12943.731501020,0,0
12944.199094624,0,1
12944.201507890,0,0
12944.669101504,0,1
12944.671514520,0,0
12945.139108336,0,1
12945.141521602,0,0
12945.609115200,0,1
12945.611528466,0,0
12946.079122122,0,1
12946.081535138,0,0
12946.549129010,0,1
12946.551542026,0,0
12947.019135810,0,1
12947.021549076,0,0
12947.489142686,0,1
12947.491555952,0,0
12947.959149588,0,1
12947.961562604,0,0
12948.429156406,0,1
12948.431569672,0,0
12948.899163312,0,1
12948.901576578,0,0
12949.369170198,0,1
12949.370439778,1,1
12949.373071446,0,1
12949.373107464,0,0
12949.839177014,0,1
12949.841590282,0,0
12950.309183876,0,1
12950.311597144,0,0
12950.779190790,0,1
12950.781603806,0,0
12951.249197634,0,1
12951.251610650,0,0
12951.719204456,0,1
12951.721617722,0,0
12952.189211318,0,1
12952.191624584,0,0
12952.659218226,0,1
12952.661631242,0,0
12953.129225134,0,1
12953.131638152,0,0
12953.599231988,0,1
12953.601645254,0,0
12954.069238796,0,1
12954.071652064,0,0
12954.539245712,0,1
12954.541658728,0,0
12955.009252628,0,1
12955.011665644,0,0
12955.479259424,0,1
12955.481672690,0,0
12955.949266336,0,1
12955.951679602,0,0
12956.419273200,0,1
12956.421686216,0,0
12956.889279990,0,1
12956.891693256,0,0
12957.359286916,0,1
12957.361700182,0,0
12957.829293808,0,1
12957.831706824,0,0
12958.299300678,0,1
12958.301713694,0,0
12958.769307582,0,1
12958.771720600,0,0
12959.239314412,0,1
12959.241727678,0,0
12959.709321234,0,1
12959.710590844,1,1
12959.713223020,0,1
12959.713258498,0,0
12960.179328030,0,1
12960.181741296,0,0
12960.649335004,0,1
12960.651748020,0,0
12961.119341830,0,1
12961.121754846,0,0
12961.589348696,0,1
12961.591761962,0,0
12962.059355556,0,1
12962.061768822,0,0
12962.529362424,0,1
12962.531775440,0,0
12962.999369336,0,1
12963.001782352,0,0
12963.469376246,0,1
12963.471789262,0,0
12963.939383036,0,1
12963.941796302,0,0
12964.409389946,0,1
12964.411803212,0,0
12964.879396846,0,1
12964.881809862,0,0
12965.349403608,0,1
12965.351816876,0,0
12965.819410532,0,1
12965.821823800,0,0
12966.289417382,0,1
12966.291830398,0,0
12966.759424306,0,1
12966.761837322,0,0
12967.229431138,0,1
12967.231844404,0,0
12967.699437956,0,1
12967.701851222,0,0
12968.169444890,0,1
12968.171857908,0,0
12968.639451786,0,1
12968.641864802,0,0
12969.109458634,0,1
12969.111871900,0,0
12969.579465478,0,1
12969.580735070,1,1
12969.583366930,0,1
12969.583402744,0,0
12970.049472300,0,1
12970.051885566,0,0
12970.519479190,0,1
12970.521892456,0,0
12970.989486076,0,1
12970.991899092,0,0
12971.459492974,0,1
12971.461905992,0,0
12971.929499762,0,1
12971.931913028,0,0
12972.399506644,0,1
12972.401919912,0,0
12972.869513586,0,1
12972.871926604,0,0
12973.339520392,0,1
12973.341933658,0,0
12973.809527304,0,1
12973.811940572,0,0
12974.279534152,0,1
12974.281947168,0,0
12974.749541034,0,1
12974.751954050,0,0
12975.219547802,0,1
12975.221961068,0,0
12975.689554756,0,1
12975.691968022,0,0
12976.159561624,0,1
12976.161974642,0,0
12976.629568412,0,1
12976.631981678,0,0
12977.099575342,0,1
12977.101988608,0,0
12977.569582244,0,1
12977.571995260,0,0
12978.039589134,0,1
12978.042002150,0,0
12978.509595910,0,1
12978.512009176,0,0
12978.979602788,0,1
12978.982016056,0,0
12979.449609654,0,1
12979.450879330,1,1
12979.453511066,0,1
12979.453546920,0,0
12979.919616782,0,1
12979.922030048,0,0
12980.389623634,0,1
12980.392036900,0,0
12980.859630564,0,1
12980.862043580,0,0
12981.329637352,0,1
12981.332050620,0,0
12981.799644206,0,1
12981.802057474,0,0
12982.269651162,0,1
12982.272064178,0,0
12982.739658032,0,1
12982.742071048,0,0
12983.209664918,0,1
12983.212077934,0,0
12983.679671738,0,1
12983.682085004,0,0
12984.149678582,0,1
12984.152091848,0,0
12984.619685466,0,1
12984.622098482,0,0
12985.089692338,0,1
12985.092105604,0,0
12985.559699200,0,1
12985.562112468,0,0
12986.029706054,0,1
12986.032119070,0,0
12986.499712978,0,1
12986.502125996,0,0
12986.969719880,0,1
12986.972132896,0,0
12987.439726658,0,1
12987.442139924,0,0
12987.909733582,0,1
12987.912146848,0,0
12988.379740400,0,1
12988.382153416,0,0
12988.849747240,0,1
12988.852160506,0,0
12989.319754118,0,1
12989.322167384,0,0
12989.789761040,0,1
12989.791030426,1,1
12989.793662418,0,1
12989.793698054,0,0
12990.259767588,0,1
12990.262180854,0,0
12990.729774486,0,1
12990.732187752,0,0
12991.199781340,0,1
12991.202194356,0,0
12991.669788246,0,1
12991.672201262,0,0
12992.139795072,0,1
12992.142208338,0,0
12992.609801942,0,1
12992.612215210,0,0
12993.079808880,0,1
12993.082221898,0,0
12993.549815664,0,1
12993.552228932,0,0
12994.019822578,0,1
12994.022235846,0,0
12994.489829446,0,1
12994.492242462,0,0
12994.959836364,0,1
12994.962249380,0,0
12995.429843182,0,1
12995.432256448,0,0
12995.899850084,0,1
12995.902263350,0,0
12996.369856932,0,1
12996.372269948,0,0
12996.839863746,0,1
12996.842277012,0,0
12997.309870600,0,1
12997.312283866,0,0
12997.779877560,0,1
12997.782290576,0,0
12998.249884430,0,1
12998.252297446,0,0
12998.719891210,0,1
12998.722304476,0,0
12999.189898092,0,1
12999.192311358,0,0
12999.659904950,0,1
12999.661174658,1,1
12999.663806954,0,1
12999.663842466,0,0
13000.129911944,0,1
13000.132325210,0,0
13000.599918786,0,1
13000.602332052,0,0
13001.069925712,0,1
13001.072338728,0,0
13001.539932526,0,1
13001.542345794,0,0
13002.009939422,0,1
13002.012352688,0,0
13002.479946310,0,1
13002.482359328,0,0
13002.949953198,0,1
13002.952366216,0,0
