Time [s],Channel 5,Channel 6
60719.943498742,0,0
60720.951099890,0,1
60720.952369370,1,1
60720.955000880,0,1
60720.955037154,0,0
60721.961113930,0,1
60721.963526948,0,0
60722.971128088,0,1
60722.973541104,0,0
60723.981142272,0,1
60723.983555288,0,0
60724.991156474,0,1
60724.993569490,0,0
60726.001170612,0,1
60726.003583878,0,0
60727.011184810,0,1
60727.013598076,0,0
60728.021198964,0,1
60728.023612230,0,0
60729.031213118,0,1
60729.033626384,0,0
60730.041227322,0,1
60730.043640588,0,0
60731.051241560,0,1
60731.052511190,1,1
60731.055143134,0,1
60731.055178826,0,0
60732.061255764,0,1
60732.063668780,0,0
60733.071269920,0,1
60733.073682936,0,0
60734.081284080,0,1
60734.083697096,0,0
60735.091298248,0,1
60735.093711264,0,0
60736.101312406,0,1
60736.103725672,0,0
60737.111326636,0,1
60737.113739902,0,0
60738.121340816,0,1
60738.123754082,0,0
60739.131354952,0,1
60739.133768218,0,0
60740.141369108,0,1
60740.143782374,0,0
60741.151383336,0,1
60741.152653020,1,1
60741.155284578,0,1
60741.155320602,0,0
60742.161397642,0,1
60742.163810658,0,0
60743.171411804,0,1
60743.173824820,0,0
60744.181425968,0,1
60744.183838984,0,0
60745.191440144,0,1
60745.193853410,0,0
60746.201454330,0,1
60746.203867596,0,0
60747.211468538,0,1
60747.213881804,0,0
60748.221482678,0,1
60748.223895944,0,0
60749.231496894,0,1
60749.233909912,0,0
60750.241511144,0,1
60750.243924160,0,0
60751.251525328,0,1
60751.252794824,1,1
60751.255426500,0,1
60751.255462592,0,0
60752.261539358,0,1
60752.263952374,0,0
60753.271553500,0,1
60753.273966516,0,0
60754.281567696,0,1
60754.283980712,0,0
60755.291581862,0,1
60755.293994878,0,0
60756.301596006,0,1
60756.304009270,0,0
60757.311610186,0,1
60757.314023452,0,0
60758.321624394,0,1
60758.324037660,0,0
60759.331638568,0,1
60759.334051834,0,0
60760.341652740,0,1
60760.344066006,0,0
60761.351666956,0,1
60761.352936656,1,1
60761.355568628,0,1
60761.355604470,0,0
60762.361681268,0,1
60762.364094282,0,0
60763.371695420,0,1
60763.374108438,0,0
60764.381709638,0,1
60764.384122654,0,0
60765.391723786,0,1
60765.394137052,0,0
60766.401737946,0,1
60766.404151212,0,0
60767.411752158,0,1
60767.414165424,0,0
60768.421766302,0,1
60768.424179568,0,0
60769.431780528,0,1
60769.434193546,0,0
60770.441794706,0,1
60770.444207722,0,0
60771.451808892,0,1
60771.453078418,1,1
60771.455709952,0,1
60771.455746158,0,0
60772.461822882,0,1
60772.464236148,0,0
60773.471837118,0,1
60773.474250384,0,0
60774.481851306,0,1
60774.484264322,0,0
60775.491865474,0,1
60775.494278490,0,0
60776.501879682,0,1
60776.504292698,0,0
60777.511893826,0,1
60777.514306842,0,0
60778.521907978,0,1
60778.524320994,0,0
60779.531922164,0,1
60779.534335180,0,0
60780.541936372,0,1
60780.544349638,0,0
60781.551950502,0,1
60781.553220298,1,1
60781.555852006,0,1
60781.555888016,0,0
60782.561964944,0,1
60782.564377958,0,0
60783.571979098,0,1
60783.574392114,0,0
60784.581993334,0,1
60784.584406352,0,0
60785.592007482,0,1
60785.594420748,0,0
60786.602021650,0,1
60786.604434916,0,0
60787.612035792,0,1
60787.614449058,0,0
60788.622050058,0,1
60788.624463072,0,0
60789.632064224,0,1
60789.634477240,0,0
60790.642078418,0,1
60790.644491434,0,0
60791.652092598,0,1
60791.653362070,1,1
60791.655993960,0,1
60791.656029614,0,0
60792.662106646,0,1
60792.664519662,0,0
60793.672120798,0,1
60793.674533814,0,0
60794.682134970,0,1
60794.684547986,0,0
60795.692149134,0,1
60795.694562150,0,0
60796.702163286,0,1
60796.704576300,0,0
60797.712177520,0,1
60797.714590786,0,0
60798.722191724,0,1
60798.724604990,0,0
60799.732205890,0,1
60799.734619156,0,0
60800.742220050,0,1
60800.744633316,0,0
60801.752234196,0,1
60801.753503878,1,1
60801.756135536,0,1
60801.756171460,0,0
60802.762248500,0,1
60802.764661516,0,0
60803.772262670,0,1
60803.774675686,0,0
60804.782276814,0,1
60804.784689830,0,0
60805.792290986,0,1
60805.794704252,0,0
60806.802305178,0,1
60806.804718444,0,0
60807.812319378,0,1
60807.814732644,0,0
60808.822333566,0,1
60808.824746832,0,0
60809.832347748,0,1
60809.834760764,0,0
60810.842361970,0,1
60810.843631530,1,1
60810.846263334,0,1
60810.846299234,0,0
60811.852376098,0,1
60811.854789114,0,0
60812.862390286,0,1
60812.864803304,0,0
60813.872404432,0,1
60813.874817448,0,0
60814.882418626,0,1
60814.884831890,0,0
60815.892432792,0,1
60815.894846058,0,0
60816.902447010,0,1
60816.904860276,0,0
60817.912461158,0,1
60817.914874424,0,0
60818.922475376,0,1
60818.924888392,0,0
60819.932489582,0,1
60819.934902598,0,0
60820.942503746,0,1
60820.943773366,1,1
60820.946405232,0,1
60820.946441010,0,0
60821.952517896,0,1
60821.954930912,0,0
60822.962532076,0,1
60822.964945092,0,0
60823.972546288,0,1
60823.974959304,0,0
60824.982560460,0,1
60824.984973476,0,0
60825.992574596,0,1
60825.994987862,0,0
60827.002588820,0,1
60827.005002086,0,0
60828.012602948,0,1
60828.015016214,0,0
60829.022617140,0,1
60829.025030406,0,0
60830.032631356,0,1
60830.035044374,0,0
60831.042645570,0,1
60831.043915186,1,1
60831.046546956,0,1
60831.046582836,0,0
60832.052659734,0,1
60832.055072750,0,0
60833.062673904,0,1
60833.065086922,0,0
60834.072688078,0,1
60834.075101094,0,0
60835.082702268,0,1
60835.085115534,0,0
60836.092716376,0,1
60836.095129642,0,0
60837.102730598,0,1
60837.105143866,0,0
60838.112744756,0,1
60838.115158024,0,0
60839.122759006,0,1
60839.125172022,0,0
60840.132773132,0,1
60840.135186148,0,0
60841.142787370,0,1
60841.144056902,1,1
60841.146688686,0,1
60841.146724634,0,0
60842.152801394,0,1
60842.155214410,0,0
60843.162815564,0,1
60843.165228580,0,0
60844.172829702,0,1
60844.175242720,0,0
60845.182843904,0,1
60845.185256920,0,0
60846.192858102,0,1
60846.195271118,0,0
60847.202872226,0,1
60847.205285242,0,0
60848.212886422,0,1
60848.215299688,0,0
60849.222900624,0,1
60849.225313890,0,0
60850.232914802,0,1
60850.235328068,0,0
60851.242928950,0,1
60851.244198750,1,1
60851.246830068,0,1
60851.246866466,0,0
60852.252943340,0,1
60852.255356358,0,0
60853.262957604,0,1
60853.265370620,0,0
60854.272971736,0,1
60854.275384752,0,0
60855.282985932,0,1
60855.285398948,0,0
60856.293000098,0,1
60856.295413116,0,0
60857.303014220,0,1
60857.305427486,0,0
60858.313028420,0,1
60858.315441686,0,0
60859.323042634,0,1
60859.325455900,0,0
60860.333056816,0,1
60860.335469832,0,0
60861.343071042,0,1
60861.344340576,1,1
60861.346971936,0,1
60861.347008306,0,0
60862.353085166,0,1
60862.355498182,0,0
60863.363099352,0,1
60863.365512368,0,0
60864.373113540,0,1
60864.375526556,0,0
60865.383127684,0,1
60865.385540700,0,0
60866.393141824,0,1
60866.395555090,0,0
60867.403156060,0,1
60867.405569326,0,0
60868.413170300,0,1
60868.415583566,0,0
60869.423184410,0,1
60869.425597676,0,0
60870.433198598,0,1
60870.435611864,0,0
60871.443212770,0,1
60871.444482340,1,1
60871.447113958,0,1
60871.447150036,0,0
60872.453227012,0,1
60872.455640028,0,0
60873.463241140,0,1
60873.465654156,0,0
60874.473255324,0,1
60874.475668340,0,0
60875.483269498,0,1
60875.485682764,0,0
60876.493283680,0,1
60876.495696946,0,0
60877.503297818,0,1
60877.505711084,0,0
60878.513312010,0,1
60878.515725276,0,0
60879.523326220,0,1
60879.525739238,0,0
60880.533340446,0,1
60880.535753462,0,0
60881.543354622,0,1
60881.544624152,1,1
60881.547255812,0,1
60881.547291888,0,0
60882.553368650,0,1
60882.555781666,0,0
60883.563382764,0,1
60883.565795780,0,0
