Time [s],Channel 5,Channel 6
233.801669966,0,1
233.804083232,0,0
234.811684922,0,1
234.812954464,1,1
234.815586470,0,1
234.815621938,0,0
235.821699780,0,1
235.824113046,0,0
236.831714662,0,1
236.834127678,0,0
237.841729530,0,1
237.844142796,0,0
238.851744456,0,1
238.854157472,0,0
239.861759340,0,1
239.864172608,0,0
240.871774256,0,1
240.874187274,0,0
241.881789108,0,1
241.884202374,0,0
242.891804032,0,1
242.894217050,0,0
243.901818896,0,1
243.904232162,0,0
244.911833834,0,1
244.913103368,1,1
244.915735582,0,1
244.915771098,0,0
245.921848526,0,1
245.924261544,0,0
246.931863442,0,1
246.934276458,0,0
247.941878348,0,1
247.944291366,0,0
248.951893166,0,1
248.954306434,0,0
249.961908060,0,1
249.964321076,0,0
250.971922938,0,1
250.974336204,0,0
251.981937824,0,1
251.984350840,0,0
252.991952722,0,1
252.994365990,0,0
254.001967642,0,1
254.004380658,0,0
255.011982474,0,1
255.013252260,1,1
255.015883834,0,1
255.015919740,0,0
256.021997482,0,1
256.024410750,0,0
257.032012440,0,1
257.034425458,0,0
258.042027262,0,1
258.044440528,0,0
259.052042176,0,1
259.054455194,0,0
260.062057046,0,1
260.064470314,0,0
261.072071964,0,1
261.074484982,0,0
262.082086804,0,1
262.084500070,0,0
263.092101760,0,1
263.094514778,0,0
264.102116628,0,1
264.104529896,0,0
265.112131534,0,1
265.113401176,1,1
265.116032794,0,1
265.116068800,0,0
266.122146356,0,1
266.124559374,0,0
267.132161302,0,1
267.134574320,0,0
268.142176192,0,1
268.144589458,0,0
269.152191074,0,1
269.154604090,0,0
270.162205904,0,1
270.164619172,0,0
271.172220810,0,1
271.174633828,0,0
272.182235704,0,1
272.184648720,0,0
273.192250640,0,1
273.194663656,0,0
274.202265480,0,1
274.204678496,0,0
275.212280368,0,1
275.213550020,1,1
275.216181810,0,1
275.216217632,0,0
276.222295202,0,1
276.224708470,0,0
277.232310110,0,1
277.234723126,0,0
278.242325016,0,1
278.244738282,0,0
279.252339858,0,1
279.254752874,0,0
280.262354780,0,1
280.264768046,0,0
281.272369678,0,1
281.274782694,0,0
282.282384534,0,1
282.284797800,0,0
283.292399452,0,1
283.294812468,0,0
284.302414274,0,1
284.304827542,0,0
285.312429244,0,1
285.313698908,1,1
285.316330854,0,1
285.316366510,0,0
286.322444062,0,1
286.324857330,0,0
287.332458926,0,1
287.334871944,0,0
288.342473806,0,1
288.344887074,0,0
289.352488696,0,1
289.354901712,0,0
290.362503594,0,1
290.364916862,0,0
291.372518502,0,1
291.374931520,0,0
292.382533336,0,1
292.384946602,0,0
293.392548284,0,1
293.394961302,0,0
294.402563096,0,1
294.404976364,0,0
295.412578012,0,1
295.413847702,1,1
295.416479896,0,1
295.416515278,0,0
296.422593012,0,1
296.425006278,0,0
297.432607878,0,1
297.435020896,0,0
298.442622760,0,1
298.445036026,0,0
299.452637632,0,1
299.455050648,0,0
300.462652534,0,1
300.465065800,0,0
301.472667416,0,1
301.475080432,0,0
302.482682256,0,1
302.485095522,0,0
303.492697214,0,1
303.495110230,0,0
304.502712040,0,1
304.505125306,0,0
305.512726882,0,1
305.513996540,1,1
305.516628300,0,1
305.516664148,0,0
306.522741772,0,1
306.525155038,0,0
307.532756654,0,1
307.535169670,0,0
308.542771508,0,1
308.545184776,0,0
309.552786430,0,1
309.555199448,0,0
310.562801312,0,1
310.565214578,0,0
311.572816180,0,1
311.575229196,0,0
312.582830996,0,1
312.585244262,0,0
313.592845912,0,1
313.595258930,0,0
314.602860794,0,1
314.604130398,1,1
314.606762216,0,1
314.606798060,0,0
315.612875588,0,1
315.615288856,0,0
316.622890498,0,1
316.625303516,0,0
317.632905340,0,1
317.635318606,0,0
318.642920234,0,1
318.645333502,0,0
319.652935128,0,1
319.655348146,0,0
320.662949994,0,1
320.665363262,0,0
321.672964862,0,1
321.675377878,0,0
322.682979768,0,1
322.685393034,0,0
323.692994676,0,1
323.695407692,0,0
324.703009482,0,1
324.704279236,1,1
324.706910934,0,1
324.706946996,0,0
325.713024430,0,1
325.715437698,0,0
326.723039368,0,1
326.725452384,0,0
327.733054214,0,1
327.735467480,0,0
328.743069082,0,1
328.745482098,0,0
329.753083954,0,1
329.755497220,0,0
330.763098884,0,1
330.765511902,0,0
331.773113714,0,1
331.775526982,0,0
332.783128590,0,1
332.785541606,0,0
333.793143466,0,1
333.795556482,0,0
334.803158370,0,1
334.804427936,1,1
334.807059532,0,1
334.807095634,0,0
335.813173194,0,1
335.815586460,0,0
336.823188122,0,1
336.825601138,0,0
337.833202950,0,1
337.835616218,0,0
338.843217834,0,1
338.845630852,0,0
339.853232700,0,1
339.855645966,0,0
340.863247592,0,1
340.865660610,0,0
341.873262430,0,1
341.875675698,0,0
342.883277302,0,1
342.885690318,0,0
343.893292156,0,1
343.895705424,0,0
344.903307068,0,1
344.904576600,1,1
344.907208224,0,1
344.907244084,0,0
345.913321782,0,1
345.915735048,0,0
346.923336692,0,1
346.925749710,0,0
347.933351530,0,1
347.935764796,0,0
348.943366434,0,1
348.945779450,0,0
349.953381278,0,1
349.955794546,0,0
350.963396130,0,1
350.965809148,0,0
351.973411038,0,1
351.975824304,0,0
352.983425922,0,1
352.985838940,0,0
353.993440772,0,1
353.995854040,0,0
355.003455646,0,1
355.004725312,1,1
355.007357458,0,1
355.007392912,0,0
356.013470634,0,1
356.015883900,0,0
357.023485520,0,1
357.025898538,0,0
358.033500328,0,1
358.035913594,0,0
359.043515242,0,1
359.045928260,0,0
360.053530126,0,1
360.055943394,0,0
361.063544970,0,1
361.065957988,0,0
362.073559838,0,1
362.075973106,0,0
363.083574690,0,1
363.085987706,0,0
364.093589532,0,1
364.096002798,0,0
365.103604470,0,1
365.104873926,1,1
365.107505742,0,1
365.107541736,0,0
366.113619170,0,1
366.116032438,0,0
367.123634038,0,1
367.126047054,0,0
368.133648904,0,1
368.136062170,0,0
369.143663836,0,1
369.146076854,0,0
370.153678654,0,1
370.156091920,0,0
371.163693576,0,1
371.166106592,0,0
372.173708364,0,1
372.176121632,0,0
373.183723264,0,1
373.186136282,0,0
374.193738114,0,1
374.196151380,0,0
375.203752984,0,1
375.205022694,1,1
375.207654450,0,1
375.207690500,0,0
376.213767964,0,1
376.216181230,0,0
377.223782858,0,1
377.226195876,0,0
378.233797690,0,1
378.236210956,0,0
379.243812590,0,1
379.246225606,0,0
380.253827466,0,1
380.256240734,0,0
381.263842326,0,1
381.266255344,0,0
382.273857150,0,1
382.276270416,0,0
383.283872056,0,1
383.286285074,0,0
384.293886932,0,1
384.296299948,0,0
385.303901730,0,1
385.305171264,1,1
385.307803484,0,1
385.307838996,0,0
386.313916458,0,1
386.316329474,0,0
387.323931324,0,1
387.326344590,0,0
388.333946148,0,1
388.336359164,0,0
389.343960984,0,1
389.346374250,0,0
390.353975906,0,1
390.356388922,0,0
391.363990682,0,1
391.366403948,0,0
392.374005644,0,1
392.376418662,0,0
393.384020468,0,1
393.386433736,0,0
394.394035376,0,1
394.396448394,0,0
395.404050226,0,1
395.405319908,1,1
395.407951650,0,1
395.407987492,0,0
396.414065156,0,1
396.416478174,0,0
397.424080036,0,1
397.426493054,0,0
398.434094850,0,1
398.436507868,0,0
399.444109752,0,1
399.446522770,0,0
400.454124578,0,1
400.456537596,0,0
401.464139482,0,1
401.466552498,0,0
402.474154280,0,1
402.476567298,0,0
403.484169202,0,1
403.486582218,0,0
404.494184052,0,1
404.496597068,0,0
405.504198870,0,1
405.505468580,1,1
405.508100332,0,1
405.508136136,0,0
406.514213840,0,1
406.516626856,0,0
407.524228714,0,1
407.526641732,0,0
408.534243558,0,1
408.536656574,0,0
409.544258460,0,1
409.546671476,0,0
410.554273208,0,1
410.556686226,0,0
411.564288118,0,1
411.566701384,0,0
412.574302992,0,1
412.576716010,0,0
413.584317788,0,1
413.586731054,0,0
414.594332734,0,1
414.595602304,1,1
414.598234086,0,1
414.598270000,0,0
415.604347556,0,1
415.606760824,0,0
416.614362418,0,1
416.616775436,0,0
417.624377270,0,1
417.626790288,0,0
418.634392092,0,1
418.636805360,0,0
419.644407022,0,1
419.646820038,0,0
420.654421804,0,1
420.656835072,0,0
421.664436698,0,1
421.666849716,0,0
422.674451510,0,1
422.676864776,0,0
423.684466386,0,1
423.686879404,0,0
