Time [s],Channel 9,Channel 10,Channel 11
6794.615344164,0,0,1
6794.615347004,0,1,1
6794.616080184,0,1,0
6794.618579640,0,0,0
6795.085327740,0,0,1
6795.085330580,0,1,1
6795.086063760,0,1,0
6795.088563218,0,0,0
6795.555327316,0,0,1
6795.555330156,0,1,1
6795.556063336,0,1,0
6795.558562794,0,0,0
6796.025326894,0,0,1
6796.025329734,0,1,1
6796.026062914,0,1,0
6796.027477990,1,1,0
6796.028953998,0,1,0
6796.029073808,0,0,0
6796.495342470,0,0,1
6796.495345310,0,1,1
6796.496078490,0,1,0
6796.498577948,0,0,0
6796.965342046,0,0,1
6796.965344886,0,1,1
6796.966078066,0,1,0
6796.968577524,0,0,0
6797.435341624,0,0,1
6797.435344464,0,1,1
6797.436077644,0,1,0
6797.438577102,0,0,0
6797.905341200,0,0,1
6797.905344040,0,1,1
6797.906077222,0,1,0
6797.908576678,0,0,0
6798.375324778,0,0,1
6798.375327618,0,1,1
6798.376060798,0,1,0
6798.378560254,0,0,0
6798.845324354,0,0,1
6798.845327194,0,1,1
6798.846060374,0,1,0
6798.848559832,0,0,0
6799.315323930,0,0,1
6799.315326770,0,1,1
6799.316059952,0,1,0
6799.318559408,0,0,0
6799.785323508,0,0,1
6799.785326348,0,1,1
6799.786059528,0,1,0
6799.788558986,0,0,0
6800.255323084,0,0,1
6800.255325924,0,1,1
6800.256059104,0,1,0
6800.258558562,0,0,0
6800.725322662,0,0,1
6800.725325502,0,1,1
6800.726058682,0,1,0
6800.728558140,0,0,0
6801.195322238,0,0,1
6801.195325078,0,1,1
6801.196058258,0,1,0
6801.198557716,0,0,0
6801.665305814,0,0,1
6801.665308656,0,1,1
6801.666041836,0,1,0
6801.668541292,0,0,0
6802.135305392,0,0,1
6802.135308232,0,1,1
6802.136041412,0,1,0
6802.138540870,0,0,0
6802.605304968,0,0,1
6802.605307808,0,1,1
6802.606040990,0,1,0
6802.608540446,0,0,0
6803.075304546,0,0,1
6803.075307386,0,1,1
6803.076040566,0,1,0
6803.078540024,0,0,0
6803.545304122,0,0,1
6803.545306962,0,1,1
6803.546040142,0,1,0
6803.548539600,0,0,0
6804.015303698,0,0,1
6804.015306540,0,1,1
6804.016039720,0,1,0
6804.017431642,1,1,0
6804.018907652,0,1,0
6804.019025926,0,0,0
6804.485287276,0,0,1
6804.485290116,0,1,1
6804.486023296,0,1,0
6804.488522754,0,0,0
6804.955270854,0,0,1
6804.955273694,0,1,1
6804.956006874,0,1,0
6804.958506330,0,0,0
6805.425270430,0,0,1
6805.425273270,0,1,1
6805.426006452,0,1,0
6805.428505908,0,0,0
6805.895270008,0,0,1
6805.895272848,0,1,1
6805.896006028,0,1,0
6805.898505486,0,0,0
6806.365269584,0,0,1
6806.365272424,0,1,1
6806.366005606,0,1,0
6806.368505062,0,0,0
6806.835269162,0,0,1
6806.835272002,0,1,1
6806.836005182,0,1,0
6806.838504640,0,0,0
6807.305268738,0,0,1
6807.305271578,0,1,1
6807.306004758,0,1,0
6807.308504216,0,0,0
6807.775268316,0,0,1
6807.775271156,0,1,1
6807.776004336,0,1,0
6807.778503792,0,0,0
6808.245251892,0,0,1
6808.245254732,0,1,1
6808.245987912,0,1,0
6808.248487370,0,0,0
6808.715251470,0,0,1
6808.715254310,0,1,1
6808.715987490,0,1,0
6808.718486948,0,0,0
6809.185251046,0,0,1
6809.185253886,0,1,1
6809.185987066,0,1,0
6809.188486524,0,0,0
6809.655250624,0,0,1
6809.655253462,0,1,1
6809.655986644,0,1,0
6809.658486100,0,0,0
6810.125250200,0,0,1
6810.125253040,0,1,1
6810.125986220,0,1,0
6810.128485678,0,0,0
6810.595249776,0,0,1
6810.595252616,0,1,1
6810.595985796,0,1,0
6810.598485254,0,0,0
6811.065249354,0,0,1
6811.065252194,0,1,1
6811.065985374,0,1,0
6811.068484830,0,0,0
6811.535232930,0,0,1
6811.535235770,0,1,1
6811.535968950,0,1,0
6811.538468408,0,0,0
6812.005232508,0,0,1
6812.005235348,0,1,1
6812.005968528,0,1,0
6812.007385300,1,1,0
6812.008861308,0,1,0
6812.008980046,0,0,0
6812.475248084,0,0,1
6812.475250924,0,1,1
6812.475984104,0,1,0
6812.478483562,0,0,0
6812.945247660,0,0,1
6812.945250500,0,1,1
6812.945983680,0,1,0
6812.948483138,0,0,0
6813.415247236,0,0,1
6813.415250078,0,1,1
6813.415983258,0,1,0
6813.418482714,0,0,0
6813.885246814,0,0,1
6813.885249654,0,1,1
6813.885982834,0,1,0
6813.888482292,0,0,0
6814.355246390,0,0,1
6814.355249230,0,1,1
6814.355982410,0,1,0
6814.358481868,0,0,0
6814.825229968,0,0,1
6814.825232558,0,1,1
6814.825965988,0,1,0
6814.828465882,0,0,0
6815.295229544,0,0,1
6815.295232384,0,1,1
6815.295965564,0,1,0
6815.298465022,0,0,0
6815.765229120,0,0,1
6815.765231960,0,1,1
6815.765965142,0,1,0
6815.768464598,0,0,0
6816.235228698,0,0,1
6816.235231538,0,1,1
6816.235964718,0,1,0
6816.238464174,0,0,0
6816.705228274,0,0,1
6816.705231114,0,1,1
6816.705964294,0,1,0
6816.708463752,0,0,0
6817.175227850,0,0,1
6817.175230690,0,1,1
6817.175963870,0,1,0
6817.178463328,0,0,0
6817.645227428,0,0,1
6817.645230268,0,1,1
6817.645963448,0,1,0
6817.648462904,0,0,0
6818.115211004,0,0,1
6818.115213844,0,1,1
6818.115947024,0,1,0
6818.118446482,0,0,0
6818.585210580,0,0,1
6818.585213420,0,1,1
6818.585946602,0,1,0
6818.588446058,0,0,0
6819.055210158,0,0,1
6819.055212998,0,1,1
6819.055946178,0,1,0
6819.058445636,0,0,0
6819.525209734,0,0,1
6819.525212574,0,1,1
6819.525945756,0,1,0
6819.528445212,0,0,0
6819.995209310,0,0,1
6819.995212152,0,1,1
6819.995945332,0,1,0
6819.998444788,0,0,0
6820.465208888,0,0,1
6820.465211728,0,1,1
6820.465944908,0,1,0
6820.468444366,0,0,0
6820.935208464,0,0,1
6820.935211304,0,1,1
6820.935944484,0,1,0
6820.938443942,0,0,0
6821.405192042,0,0,1
6821.405194882,0,1,1
6821.405928062,0,1,0
6821.407330776,1,1,0
6821.408806784,0,1,0
6821.408925206,0,0,0
6821.875191618,0,0,1
6821.875194458,0,1,1
6821.875927638,0,1,0
6821.878427096,0,0,0
6822.345191196,0,0,1
6822.345194036,0,1,1
6822.345927216,0,1,0
6822.348426672,0,0,0
6822.815190772,0,0,1
6822.815193612,0,1,1
6822.815926792,0,1,0
6822.818426250,0,0,0
6823.285190348,0,0,1
6823.285193188,0,1,1
6823.285926370,0,1,0
6823.288425826,0,0,0
6823.755189926,0,0,1
6823.755192766,0,1,1
6823.755925946,0,1,0
6823.758425402,0,0,0
6824.225189502,0,0,1
6824.225192342,0,1,1
6824.225925522,0,1,0
6824.228424980,0,0,0
6824.695173080,0,0,1
6824.695175920,0,1,1
6824.695909100,0,1,0
6824.698408556,0,0,0
6825.165172656,0,0,1
6825.165175496,0,1,1
6825.165908676,0,1,0
6825.168408134,0,0,0
6825.635172232,0,0,1
6825.635175074,0,1,1
6825.635908254,0,1,0
6825.638407710,0,0,0
6826.105171810,0,0,1
6826.105174650,0,1,1
6826.105907830,0,1,0
6826.108407288,0,0,0
6826.575171386,0,0,1
6826.575174226,0,1,1
6826.575907408,0,1,0
6826.578406864,0,0,0
6827.045170962,0,0,1
6827.045173804,0,1,1
6827.045906984,0,1,0
6827.048406440,0,0,0
6827.515170540,0,0,1
6827.515173380,0,1,1
6827.515906560,0,1,0
6827.518406016,0,0,0
6827.985170116,0,0,1
6827.985172956,0,1,1
6827.985906136,0,1,0
6827.988405594,0,0,0
6828.455153692,0,0,1
6828.455156532,0,1,1
6828.455889712,0,1,0
6828.458389170,0,0,0
6828.925153268,0,0,1
6828.925156110,0,1,1
6828.925889290,0,1,0
6828.928388746,0,0,0
6829.395152846,0,0,1
6829.395155686,0,1,1
6829.395888866,0,1,0
6829.398388322,0,0,0
6829.865152422,0,0,1
6829.865155262,0,1,1
6829.865888442,0,1,0
6829.868387898,0,0,0
6830.335151998,0,0,1
6830.335154838,0,1,1
6830.335888018,0,1,0
6830.338387476,0,0,0
6830.805151576,0,0,1
6830.805154416,0,1,1
6830.805887596,0,1,0
6830.807276254,1,1,0
6830.808752262,0,1,0
6830.808870928,0,0,0
6831.275135150,0,0,1
6831.275137992,0,1,1
6831.275871172,0,1,0
6831.278370628,0,0,0
6831.745118728,0,0,1
6831.745121568,0,1,1
6831.745854748,0,1,0
6831.748354206,0,0,0
6832.215118304,0,0,1
6832.215121144,0,1,1
6832.215854324,0,1,0
6832.218353782,0,0,0
6832.685117882,0,0,1
6832.685120722,0,1,1
6832.685853902,0,1,0
6832.688353358,0,0,0
6833.155117458,0,0,1
6833.155120298,0,1,1
6833.155853478,0,1,0
6833.158352936,0,0,0
6833.625117034,0,0,1
6833.625119874,0,1,1
6833.625853054,0,1,0
6833.628352512,0,0,0
6834.095116610,0,0,1
6834.095119450,0,1,1
6834.095852632,0,1,0
6834.098352088,0,0,0
6834.565100188,0,0,1
6834.565103028,0,1,1
6834.565836208,0,1,0
6834.568335666,0,0,0
6835.035099764,0,0,1
6835.035102604,0,1,1
6835.035835784,0,1,0
6835.038335242,0,0,0
6835.505099340,0,0,1
6835.505102180,0,1,1
6835.505835360,0,1,0
6835.508334818,0,0,0
6835.975098918,0,0,1
6835.975101758,0,1,1
6835.975834938,0,1,0
6835.978334394,0,0,0
6836.445098494,0,0,1
6836.445101334,0,1,1
6836.445834514,0,1,0
6836.448333970,0,0,0
6836.915098070,0,0,1
6836.915100910,0,1,1
6836.915834090,0,1,0
6836.918333548,0,0,0
6837.385097646,0,0,1
6837.385100486,0,1,1
6837.385833666,0,1,0
6837.388333124,0,0,0
6837.855081224,0,0,1
6837.855084064,0,1,1
6837.855817244,0,1,0
6837.858316702,0,0,0
6838.325080800,0,0,1
6838.325083640,0,1,1
6838.325816820,0,1,0
6838.328316278,0,0,0
6838.795080376,0,0,1
6838.795083216,0,1,1
6838.795816396,0,1,0
6838.797229906,1,1,0
6838.798705914,0,1,0
6838.798825040,0,0,0
6839.265095952,0,0,1
6839.265098792,0,1,1
6839.265831972,0,1,0
6839.268331430,0,0,0
6839.735095530,0,0,1
6839.735098370,0,1,1
6839.735831550,0,1,0
6839.738331006,0,0,0
6840.205095106,0,0,1
6840.205097946,0,1,1
6840.205831126,0,1,0
6840.208330582,0,0,0
6840.675094682,0,0,1
6840.675097522,0,1,1
6840.675830702,0,1,0
6840.678330160,0,0,0
6841.145078258,0,0,1
6841.145081098,0,1,1
6841.145814278,0,1,0
6841.148313736,0,0,0
6841.615077834,0,0,1
6841.615080674,0,1,1
6841.615813856,0,1,0
6841.618313312,0,0,0
6842.085077410,0,0,1
6842.085080250,0,1,1
6842.085813430,0,1,0
6842.088312888,0,0,0
6842.555076986,0,0,1
6842.555079826,0,1,1
6842.555813008,0,1,0
6842.558312464,0,0,0
6843.025076564,0,0,1
6843.025079404,0,1,1
6843.025812584,0,1,0
6843.028312040,0,0,0
6843.495076140,0,0,1
6843.495078980,0,1,1
6843.495812160,0,1,0
6843.498311616,0,0,0
6843.965075716,0,0,1
6843.965078556,0,1,1
6843.965811736,0,1,0
6843.968311194,0,0,0
6844.435059292,0,0,1
6844.435062132,0,1,1
6844.435795312,0,1,0
6844.438294770,0,0,0
6844.905058868,0,0,1
6844.905061708,0,1,1
6844.905794888,0,1,0
6844.908294346,0,0,0
6845.375058444,0,0,1
6845.375061284,0,1,1
6845.375794464,0,1,0
6845.378293922,0,0,0
6845.845058020,0,0,1
6845.845060860,0,1,1
6845.845794042,0,1,0
6845.848293498,0,0,0
6846.315057598,0,0,1
6846.315060438,0,1,1
6846.315793618,0,1,0
6846.318293074,0,0,0
6846.785057174,0,0,1
6846.785060014,0,1,1
6846.785793194,0,1,0
6846.787183558,1,1,0
6846.788659566,0,1,0
6846.788778838,0,0,0
6847.255040750,0,0,1
6847.255043590,0,1,1
6847.255776770,0,1,0
6847.258276226,0,0,0
6847.725024326,0,0,1
6847.725027166,0,1,1
6847.725760346,0,1,0
6847.728259804,0,0,0
6848.195023902,0,0,1
6848.195026742,0,1,1
6848.195759922,0,1,0
6848.198259380,0,0,0
6848.665023478,0,0,1
6848.665026318,0,1,1
6848.665759498,0,1,0
6848.668258956,0,0,0
6849.135023054,0,0,1
6849.135025894,0,1,1
6849.135759074,0,1,0
6849.138258532,0,0,0
6849.605022630,0,0,1
6849.605025470,0,1,1
6849.605758650,0,1,0
6849.608258108,0,0,0
6850.075022206,0,0,1
6850.075025046,0,1,1
6850.075758228,0,1,0
6850.078257684,0,0,0
6850.545021784,0,0,1
6850.545024622,0,1,1
6850.545757804,0,1,0
6850.548257260,0,0,0
6851.015005360,0,0,1
6851.015008200,0,1,1
6851.015741380,0,1,0
6851.018240836,0,0,0
6851.485004936,0,0,1
6851.485007776,0,1,1
6851.485740956,0,1,0
6851.488240412,0,0,0
6851.955004512,0,0,1
6851.955007352,0,1,1
6851.955740532,0,1,0
6851.958239988,0,0,0
6852.425004088,0,0,1
6852.425006928,0,1,1
6852.425740108,0,1,0
6852.428239564,0,0,0
6852.895003664,0,0,1
6852.895006504,0,1,1
6852.895739684,0,1,0
6852.898239142,0,0,0
6853.365003240,0,0,1
6853.365006080,0,1,1
6853.365739260,0,1,0
6853.368238718,0,0,0
6853.835002816,0,0,1
6853.835005656,0,1,1
6853.835738836,0,1,0
6853.838238294,0,0,0
6854.304986392,0,0,1
6854.304989232,0,1,1
6854.305722412,0,1,0
6854.308221870,0,0,0
6854.774985968,0,0,1
6854.774988808,0,1,1
6854.775721988,0,1,0
6854.778221446,0,0,0
6855.244985544,0,0,1
6855.244988384,0,1,1
6855.245721564,0,1,0
6855.248221022,0,0,0
6855.714985120,0,0,1
6855.714987962,0,1,1
6855.715721142,0,1,0
6855.717131758,1,1,0
6855.718607766,0,1,0
6855.718726910,0,0,0
6856.184984698,0,0,1
6856.184987538,0,1,1
6856.185720718,0,1,0
6856.188220174,0,0,0
6856.654984274,0,0,1
6856.654987114,0,1,1
6856.655720294,0,1,0
6856.658219750,0,0,0
6857.124983850,0,0,1
6857.124986690,0,1,1
6857.125719870,0,1,0
6857.128219328,0,0,0
6857.594967426,0,0,1
6857.594970266,0,1,1
6857.595703446,0,1,0
6857.598202904,0,0,0
6858.064967002,0,0,1
6858.064969844,0,1,1
6858.065703024,0,1,0
6858.068202480,0,0,0
6858.534966580,0,0,1
6858.534969420,0,1,1
6858.535702600,0,1,0
6858.538202056,0,0,0
6859.004966156,0,0,1
6859.004968996,0,1,1
6859.005702176,0,1,0
6859.008201634,0,0,0
6859.474965732,0,0,1
6859.474968572,0,1,1
6859.475701752,0,1,0
6859.478201210,0,0,0
6859.944965308,0,0,1
6859.944968148,0,1,1
6859.945701330,0,1,0
6859.948200786,0,0,0
6860.414964886,0,0,1
6860.414967724,0,1,1
6860.415700906,0,1,0
6860.418200362,0,0,0
6860.884948462,0,0,1
6860.884951302,0,1,1
6860.885684482,0,1,0
6860.888183940,0,0,0
6861.354948038,0,0,1
6861.354950878,0,1,1
6861.355684058,0,1,0
6861.358183516,0,0,0
6861.824947614,0,0,1
6861.824950454,0,1,1
6861.825683634,0,1,0
6861.828183092,0,0,0
6862.294947190,0,0,1
6862.294950032,0,1,1
6862.295683210,0,1,0
6862.298182668,0,0,0
6862.764946768,0,0,1
6862.764949606,0,1,1
6862.765682788,0,1,0
6862.768182244,0,0,0
6863.234946344,0,0,1
6863.234949184,0,1,1
6863.235682364,0,1,0
6863.238181822,0,0,0
6863.704945920,0,0,1
6863.704948760,0,1,1
6863.705681940,0,1,0
6863.708181398,0,0,0
6864.174929496,0,0,1
6864.174932336,0,1,1
6864.175665516,0,1,0
6864.178164974,0,0,0
6864.644929072,0,0,1
